ticket_id,created_at,subject,description,product_area,customer_tier,priority,status,channel,tags
TCK-1353,2026-06-08,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 0.,workflow,pro,medium,open,chat,bulk-actions|feature-request|workflow
TCK-1380,2026-06-08,Mobile notification preference question,Customer asks how to adjust mobile notification settings Synthetic scenario variant 0.,mobile,free,medium,pending,api,mobile|settings
TCK-1397,2026-06-08,One-off PDF formatting question,PDF export has a minor formatting question for a small report Synthetic scenario variant 0.,exports,pro,medium,solved,web,pdf|formatting
TCK-1402,2026-06-08,Question about onboarding checklist,New workspace owner asks about recommended onboarding steps Synthetic scenario variant 0.,onboarding,pro,low,pending,web,onboarding|how-to
TCK-1134,2026-06-09,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 2.,authentication,enterprise,urgent,open,web,sso|login|authentication|redirect
TCK-1286,2026-06-09,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 3.,admin,pro,medium,pending,api,permissions|roles|admin
TCK-1290,2026-06-09,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 0.,admin,free,high,open,email,permissions|roles|admin
TCK-1318,2026-06-09,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 2.,integrations,free,high,solved,chat,slack|integration|disconnect
TCK-1320,2026-06-09,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 4.,integrations,free,high,open,web,slack|integration|disconnect
TCK-1412,2026-06-09,One-off PDF formatting question,PDF export has a minor formatting question for a small report Synthetic scenario variant 0.,exports,enterprise,medium,pending,api,pdf|formatting
TCK-1173,2026-06-10,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 1.,api,pro,high,pending,web,api|rate-limit|developer-experience
TCK-1292,2026-06-10,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 2.,admin,free,medium,solved,api,permissions|roles|admin
TCK-1252,2026-06-11,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 3.,search,enterprise,high,solved,email,search|performance|latency
TCK-1357,2026-06-11,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 4.,workflow,pro,medium,solved,email,bulk-actions|feature-request|workflow
TCK-1071,2026-06-12,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 1.,reporting,pro,urgent,solved,chat,csv|export|timeout|reporting
TCK-1394,2026-06-12,Question about onboarding checklist,New workspace owner asks about recommended onboarding steps Synthetic scenario variant 0.,onboarding,enterprise,low,pending,api,onboarding|how-to
TCK-1015,2026-06-13,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 1.,reporting,free,high,pending,api,csv|export|timeout|reporting
TCK-1130,2026-06-13,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 5.,authentication,enterprise,urgent,open,chat,sso|login|authentication|redirect
TCK-1141,2026-06-13,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 6.,api,pro,high,pending,email,api|rate-limit|developer-experience
TCK-1175,2026-06-13,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 0.,billing,free,medium,solved,api,billing|invoice|finance
TCK-1179,2026-06-13,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 4.,billing,free,high,open,api,billing|invoice|finance
TCK-1264,2026-06-13,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 5.,admin,pro,high,open,api,permissions|roles|admin
TCK-1265,2026-06-13,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 6.,admin,free,high,solved,api,permissions|roles|admin
TCK-1299,2026-06-13,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 6.,integrations,pro,medium,solved,email,slack|integration|disconnect
TCK-1321,2026-06-13,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 5.,integrations,free,medium,open,web,slack|integration|disconnect
TCK-1323,2026-06-13,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 0.,integrations,pro,medium,solved,web,slack|integration|disconnect
TCK-1334,2026-06-13,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 1.,workflow,pro,medium,open,chat,bulk-actions|feature-request|workflow
TCK-1384,2026-06-13,One-off PDF formatting question,PDF export has a minor formatting question for a small report Synthetic scenario variant 0.,exports,enterprise,medium,solved,web,pdf|formatting
TCK-1007,2026-06-14,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 0.,reporting,enterprise,urgent,solved,email,csv|export|timeout|reporting
TCK-1010,2026-06-14,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 3.,reporting,enterprise,high,open,email,csv|export|timeout|reporting
TCK-1085,2026-06-14,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 5.,authentication,pro,high,pending,api,sso|login|authentication|redirect
TCK-1138,2026-06-14,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 3.,api,pro,high,open,chat,api|rate-limit|developer-experience
TCK-1140,2026-06-14,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 5.,api,pro,high,pending,web,api|rate-limit|developer-experience
TCK-1187,2026-06-14,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 5.,billing,free,high,pending,api,billing|invoice|finance
TCK-1223,2026-06-14,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 6.,search,enterprise,high,pending,chat,search|performance|latency
TCK-1289,2026-06-14,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 6.,admin,pro,high,open,chat,permissions|roles|admin
TCK-1294,2026-06-14,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 1.,integrations,pro,high,open,chat,slack|integration|disconnect
TCK-1297,2026-06-14,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 4.,integrations,pro,high,open,chat,slack|integration|disconnect
TCK-1298,2026-06-14,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 5.,integrations,pro,high,open,api,slack|integration|disconnect
TCK-1327,2026-06-14,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 1.,workflow,free,medium,open,api,bulk-actions|feature-request|workflow
TCK-1381,2026-06-14,Question about onboarding checklist,New workspace owner asks about recommended onboarding steps Synthetic scenario variant 0.,onboarding,pro,medium,solved,email,onboarding|how-to
TCK-1074,2026-06-15,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 4.,reporting,enterprise,high,pending,web,csv|export|timeout|reporting
TCK-1145,2026-06-15,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 3.,api,pro,high,open,chat,api|rate-limit|developer-experience
TCK-1177,2026-06-15,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 2.,billing,pro,high,pending,chat,billing|invoice|finance
TCK-1186,2026-06-15,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 4.,billing,pro,medium,open,web,billing|invoice|finance
TCK-1000,2026-06-16,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 0.,reporting,enterprise,urgent,open,chat,csv|export|timeout|reporting
TCK-1070,2026-06-16,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 0.,reporting,enterprise,high,pending,email,csv|export|timeout|reporting
TCK-1081,2026-06-16,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 1.,authentication,pro,high,solved,web,sso|login|authentication|redirect
TCK-1082,2026-06-16,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 2.,authentication,pro,high,solved,chat,sso|login|authentication|redirect
TCK-1086,2026-06-16,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 6.,authentication,enterprise,high,solved,chat,sso|login|authentication|redirect
TCK-1087,2026-06-16,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 0.,authentication,enterprise,high,open,chat,sso|login|authentication|redirect
TCK-1088,2026-06-16,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 1.,authentication,enterprise,urgent,open,email,sso|login|authentication|redirect
TCK-1182,2026-06-16,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 0.,billing,free,high,solved,api,billing|invoice|finance
TCK-1220,2026-06-16,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 3.,search,free,high,open,web,search|performance|latency
TCK-1296,2026-06-16,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 3.,integrations,enterprise,high,pending,web,slack|integration|disconnect
TCK-1400,2026-06-16,Profile language setting question,User asks where to change language preference in profile settings Synthetic scenario variant 0.,profile,free,medium,open,api,profile|settings
TCK-1004,2026-06-17,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 4.,reporting,enterprise,high,open,api,csv|export|timeout|reporting
TCK-1009,2026-06-17,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 2.,reporting,enterprise,high,open,chat,csv|export|timeout|reporting
TCK-1013,2026-06-17,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 6.,reporting,pro,high,open,api,csv|export|timeout|reporting
TCK-1079,2026-06-17,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 2.,reporting,enterprise,urgent,open,chat,csv|export|timeout|reporting
TCK-1142,2026-06-17,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 0.,api,enterprise,medium,open,chat,api|rate-limit|developer-experience
TCK-1184,2026-06-17,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 2.,billing,free,high,open,email,billing|invoice|finance
TCK-1209,2026-06-17,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 2.,billing,pro,high,open,chat,billing|invoice|finance
TCK-1222,2026-06-17,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 5.,search,free,high,pending,chat,search|performance|latency
TCK-1262,2026-06-17,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 3.,admin,pro,high,pending,email,permissions|roles|admin
TCK-1328,2026-06-17,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 2.,workflow,enterprise,low,solved,web,bulk-actions|feature-request|workflow
TCK-1336,2026-06-17,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 3.,workflow,free,low,solved,api,bulk-actions|feature-request|workflow
TCK-1370,2026-06-17,Mobile notification preference question,Customer asks how to adjust mobile notification settings Synthetic scenario variant 0.,mobile,pro,medium,pending,email,mobile|settings
TCK-1378,2026-06-17,Mobile notification preference question,Customer asks how to adjust mobile notification settings Synthetic scenario variant 0.,mobile,enterprise,low,solved,email,mobile|settings
TCK-1003,2026-06-18,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 3.,reporting,enterprise,urgent,open,api,csv|export|timeout|reporting
TCK-1072,2026-06-18,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 2.,reporting,enterprise,high,pending,email,csv|export|timeout|reporting
TCK-1075,2026-06-18,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 5.,reporting,enterprise,urgent,pending,api,csv|export|timeout|reporting
TCK-1144,2026-06-18,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 2.,api,free,medium,pending,api,api|rate-limit|developer-experience
TCK-1216,2026-06-18,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 2.,billing,free,high,open,api,billing|invoice|finance
TCK-1218,2026-06-18,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 1.,search,enterprise,urgent,open,api,search|performance|latency
TCK-1253,2026-06-18,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 4.,search,pro,urgent,pending,api,search|performance|latency
TCK-1266,2026-06-18,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 0.,admin,free,high,solved,web,permissions|roles|admin
TCK-1268,2026-06-18,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 2.,admin,pro,high,pending,chat,permissions|roles|admin
TCK-1301,2026-06-18,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 1.,integrations,free,high,open,chat,slack|integration|disconnect
TCK-1324,2026-06-18,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 1.,integrations,free,high,pending,api,slack|integration|disconnect
TCK-1132,2026-06-19,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 0.,authentication,enterprise,urgent,pending,email,sso|login|authentication|redirect
TCK-1135,2026-06-19,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 0.,api,pro,high,open,email,api|rate-limit|developer-experience
TCK-1178,2026-06-19,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 3.,billing,enterprise,medium,solved,web,billing|invoice|finance
TCK-1190,2026-06-19,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 1.,billing,enterprise,medium,open,api,billing|invoice|finance
TCK-1217,2026-06-19,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 0.,search,enterprise,urgent,open,web,search|performance|latency
TCK-1261,2026-06-19,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 2.,admin,enterprise,high,solved,api,permissions|roles|admin
TCK-1284,2026-06-19,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 1.,admin,pro,medium,pending,email,permissions|roles|admin
TCK-1326,2026-06-19,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 0.,workflow,pro,medium,solved,web,bulk-actions|feature-request|workflow
TCK-1403,2026-06-19,Mobile notification preference question,Customer asks how to adjust mobile notification settings Synthetic scenario variant 0.,mobile,pro,low,open,chat,mobile|settings
TCK-1008,2026-06-20,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 1.,reporting,enterprise,urgent,solved,web,csv|export|timeout|reporting
TCK-1011,2026-06-20,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 4.,reporting,enterprise,urgent,open,web,csv|export|timeout|reporting
TCK-1014,2026-06-20,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 0.,reporting,enterprise,high,solved,web,csv|export|timeout|reporting
TCK-1017,2026-06-20,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 3.,reporting,pro,high,pending,chat,csv|export|timeout|reporting
TCK-1084,2026-06-20,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 4.,authentication,free,high,open,api,sso|login|authentication|redirect
TCK-1128,2026-06-20,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 3.,authentication,pro,high,pending,web,sso|login|authentication|redirect
TCK-1137,2026-06-20,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 2.,api,pro,medium,open,chat,api|rate-limit|developer-experience
TCK-1166,2026-06-20,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 1.,api,pro,high,open,chat,api|rate-limit|developer-experience
TCK-1185,2026-06-20,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 3.,billing,enterprise,medium,pending,chat,billing|invoice|finance
TCK-1251,2026-06-20,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 2.,search,pro,high,open,chat,search|performance|latency
TCK-1257,2026-06-20,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 1.,search,enterprise,high,pending,web,search|performance|latency
TCK-1263,2026-06-20,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 4.,admin,free,high,open,api,permissions|roles|admin
TCK-1322,2026-06-20,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 6.,integrations,pro,high,pending,email,slack|integration|disconnect
TCK-1360,2026-06-20,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 0.,workflow,pro,medium,pending,api,bulk-actions|feature-request|workflow
TCK-1005,2026-06-21,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 5.,reporting,enterprise,high,pending,email,csv|export|timeout|reporting
TCK-1012,2026-06-21,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 5.,reporting,enterprise,urgent,solved,email,csv|export|timeout|reporting
TCK-1080,2026-06-21,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 0.,authentication,enterprise,high,solved,web,sso|login|authentication|redirect
TCK-1183,2026-06-21,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 1.,billing,pro,high,solved,email,billing|invoice|finance
TCK-1258,2026-06-21,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 2.,search,free,urgent,solved,api,search|performance|latency
TCK-1329,2026-06-21,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 3.,workflow,free,medium,solved,web,bulk-actions|feature-request|workflow
TCK-1331,2026-06-21,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 5.,workflow,pro,medium,solved,api,bulk-actions|feature-request|workflow
TCK-1333,2026-06-21,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 0.,workflow,pro,low,open,chat,bulk-actions|feature-request|workflow
TCK-1337,2026-06-21,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 4.,workflow,pro,low,solved,chat,bulk-actions|feature-request|workflow
TCK-1354,2026-06-21,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 1.,workflow,enterprise,low,pending,web,bulk-actions|feature-request|workflow
TCK-1016,2026-06-22,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 2.,reporting,enterprise,urgent,open,api,csv|export|timeout|reporting
TCK-1136,2026-06-22,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 1.,api,enterprise,high,open,email,api|rate-limit|developer-experience
TCK-1143,2026-06-22,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 1.,api,pro,medium,open,chat,api|rate-limit|developer-experience
TCK-1146,2026-06-22,API rate limit headers are unclear,Integration retries fail because rate limit reset guidance is hard to interpret Synthetic scenario variant 4.,api,pro,high,open,chat,api|rate-limit|developer-experience
TCK-1219,2026-06-22,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 2.,search,free,high,pending,email,search|performance|latency
TCK-1283,2026-06-22,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 0.,admin,free,medium,solved,api,permissions|roles|admin
TCK-1287,2026-06-22,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 4.,admin,enterprise,medium,solved,api,permissions|roles|admin
TCK-1291,2026-06-22,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 1.,admin,enterprise,medium,solved,api,permissions|roles|admin
TCK-1295,2026-06-22,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 2.,integrations,enterprise,high,open,web,slack|integration|disconnect
TCK-1300,2026-06-22,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 0.,integrations,free,medium,pending,api,slack|integration|disconnect
TCK-1330,2026-06-22,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 4.,workflow,pro,medium,open,api,bulk-actions|feature-request|workflow
TCK-1332,2026-06-22,Request for bulk actions across tickets,Support admins want bulk updates for repetitive ticket management tasks Synthetic scenario variant 6.,workflow,pro,low,open,api,bulk-actions|feature-request|workflow
TCK-1373,2026-06-22,Profile language setting question,User asks where to change language preference in profile settings Synthetic scenario variant 0.,profile,pro,medium,open,chat,profile|settings
TCK-1398,2026-06-22,Question about onboarding checklist,New workspace owner asks about recommended onboarding steps Synthetic scenario variant 0.,onboarding,enterprise,low,open,api,onboarding|how-to
TCK-1083,2026-06-23,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 3.,authentication,enterprise,urgent,solved,web,sso|login|authentication|redirect
TCK-1129,2026-06-23,SSO login loop after identity provider redirect,Users are redirected back to sign in and cannot complete SSO login Synthetic scenario variant 4.,authentication,pro,high,open,email,sso|login|authentication|redirect
TCK-1176,2026-06-23,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 1.,billing,enterprise,high,open,web,billing|invoice|finance
TCK-1221,2026-06-23,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 4.,search,enterprise,high,open,chat,search|performance|latency
TCK-1267,2026-06-23,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 1.,admin,pro,medium,open,email,permissions|roles|admin
TCK-1269,2026-06-23,Admin permissions are confusing for team roles,Workspace admins cannot tell which role grants access to requested actions Synthetic scenario variant 3.,admin,free,high,open,chat,permissions|roles|admin
TCK-1317,2026-06-23,Slack integration disconnects unexpectedly,Slack alerts stop posting until the integration is reconnected manually Synthetic scenario variant 1.,integrations,free,medium,solved,web,slack|integration|disconnect
TCK-1416,2026-06-23,Question about onboarding checklist,New workspace owner asks about recommended onboarding steps Synthetic scenario variant 0.,onboarding,free,low,solved,email,onboarding|how-to
TCK-1001,2026-06-24,CSV export fails for large report,Export job times out when downloading large CSV reports for scheduled analysis Synthetic scenario variant 1.,reporting,pro,high,solved,api,csv|export|timeout|reporting
TCK-1188,2026-06-24,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 6.,billing,free,high,solved,chat,billing|invoice|finance
TCK-1189,2026-06-24,Invoice download or billing detail request,Customer needs clearer invoice exports and billing history for finance review Synthetic scenario variant 0.,billing,free,high,solved,chat,billing|invoice|finance
TCK-1224,2026-06-24,Search results load slowly for large workspaces,Search takes longer than expected when filtering a large support workspace Synthetic scenario variant 0.,search,pro,high,open,email,search|performance|latency
